StartTime	EndTime	Value
145920	169280	medium shot
169280	175212	medium long shot,[TO],medium shot
175212	181400	shoulder closeup
181400	183720	medium long shot
183720	186040	medium long shot
186040	187840	closeup
187840	198320	medium closeup
198320	201560	shoulder closeup
201560	205213	long shot
205213	210202	closeup,[TO],extreme long shot
210202	214400	medium closeup
214400	216880	medium long shot
216880	219760	long shot
219760	234680	neither
234680	240680	long shot
240680	255120	medium closeup
255120	259240	medium long shot
259240	262760	shoulder closeup
262760	291800	medium shot
291800	294880	closeup
294880	298200	medium long shot
298200	302000	medium closeup
302000	305280	closeup
305280	308489	shoulder closeup
308489	316458	medium shot
316458	324480	medium long shot
324480	338160	medium shot
338160	341840	medium closeup
341840	345560	long shot
345560	372240	medium shot
372240	378280	long shot
378280	397040	medium shot
397040	406960	long shot
